Jahr,Art der Entscheidung,Rechtskräftig positiv,Rechtskräftig negativ,sonstige,Summe,Anmerkung
2013,I. Instanz,3165,4987,,8152,Verfahren nach dem AsylG 2003
2013,II. Instanz,968,5392,,6360,Verfahren nach dem AsylG 2003
2013,Einstellung,,,1359,1359,Verfahren nach dem AsylG 2003
2013,Gegenstandslos,,,802,802,Verfahren nach dem AsylG 2003
2013,Zurückweisung,,,1,1,Verfahren nach dem AsylG 2003
2013,Zurückziehung,,,1,1,Verfahren nach dem AsylG 2003
2012,I. Instanz,2702,4562,,7264,Verfahren nach dem AsylG 2003
2012,II. Instanz,978,6183,,7161,Verfahren nach dem AsylG 2003
2012,Einstellung,,,1250,1250,Verfahren nach dem AsylG 2003
2012,Gegenstandslos,,,618,618,Verfahren nach dem AsylG 2003
2012,Zurückweisung,,,1,1,Verfahren nach dem AsylG 2003
2012,Zurückziehung,,,9,9,Verfahren nach dem AsylG 2003
2011,I. Instanz,2513,4004,,6517,Verfahren nach dem AsylG 2003
2011,II. Instanz,1059,7549,,8608,Verfahren nach dem AsylG 2003
2011,Einstellung,,,1306,1306,Verfahren nach dem AsylG 2003
2011,Gegenstandslos,,,781,781,Verfahren nach dem AsylG 2003
2011,Zurückweisung,,,9,9,Verfahren nach dem AsylG 2003
2011,Zurückziehung,,,4,4,Verfahren nach dem AsylG 2003
2010,I. Instanz,2077,4401,,6478,Verfahren nach dem AsylG 2003
2010,II. Instanz,900,8889,,9789,Verfahren nach dem AsylG 2003
2010,Einstellung,,,1355,1355,Verfahren nach dem AsylG 2003
2010,Gegenstandslos,,,1108,1108,Verfahren nach dem AsylG 2003
2010,Zurückweisung,,,41,41,Verfahren nach dem AsylG 2003
2010,Zurückziehung,,,8,8,Verfahren nach dem AsylG 2003
2009,I. Instanz,2000,3760,,5760,Verfahren nach dem AsylG 2003
2009,II. Instanz,1247,9771,,11018,Verfahren nach dem AsylG 2003
2009,Einstellung,,,1725,1725,Verfahren nach dem AsylG 2003
2009,Gegenstandslos,,,1671,1671,Verfahren nach dem AsylG 2003
2009,Zurückweisung,,,59,59,Verfahren nach dem AsylG 2003
2009,Zurückziehung,,,4,4,Verfahren nach dem AsylG 2003
2008,I. Instanz,2219,2281,,4500,Verfahren nach dem AsylG 2003
2008,II. Instanz,1534,5687,,7221,Verfahren nach dem AsylG 2003
2008,Einstellung,,,2183,2183,Verfahren nach dem AsylG 2003
2008,Gegenstandslos,,,1270,1270,Verfahren nach dem AsylG 2003
2008,Zurückweisung,,,139,139,Verfahren nach dem AsylG 2003
2008,Zurückziehung,,,13,13,Verfahren nach dem AsylG 2003
2007,I. Instanz,2500,2612,,5112,Verfahren nach dem AsylG 2003
2007,II. Instanz,2697,4034,,6731,Verfahren nach dem AsylG 2003
2007,Einstellung,,,2988,2988,Verfahren nach dem AsylG 2003
2007,Gegenstandslos,,,1031,1031,Verfahren nach dem AsylG 2003
2007,Zurückweisung,,,177,177,Verfahren nach dem AsylG 2003
2007,Zurückziehung,,,8,8,Verfahren nach dem AsylG 2003
2006,I. Instanz,2314,3216,,5530,Verfahren nach dem AsylG 2003
2006,II. Instanz,1749,2651,,4400,Verfahren nach dem AsylG 2003
2006,Einstellung,,,4023,4023,Verfahren nach dem AsylG 2003
2006,Gegenstandslos,,,1303,1303,Verfahren nach dem AsylG 2003
2006,Zurückweisung,,,225,225,Verfahren nach dem AsylG 2003
2006,Zurückziehung,,,7,7,Verfahren nach dem AsylG 2003
2005,I. Instanz – § 4 rechtskräftig,,4,,4,Verfahren nach dem AsIyG 1997
2005,I. Instanz – § 5 rechtskräftig,,11,,11,Verfahren nach dem AsIyG 1997
2005,I. Instanz – § 6 rechtskräftig,,32,,32,Verfahren nach dem AsIyG 1997
2005,I. Instanz – § 7 rechtskräftig,503,1994,,2497,Verfahren nach dem AsIyG 1997
2005,I. Instanz – §§ 10 u 11 rechtskräftig,362,133,,495,Verfahren nach dem AsIyG 1997
2005,II. Instanz – § 5 rechtskräftig,,16,,16,Verfahren nach dem AsIyG 1997
2005,II. Instanz – § 6 rechtskräftig,,6,,6,Verfahren nach dem AsIyG 1997
2005,II. Instanz – § 7 rechtskräftig,845,422,,1267,Verfahren nach dem AsIyG 1997
2005,II. Instanz – §§ 10 u 11 rechtskräftig,546,124,,670,Verfahren nach dem AsIyG 1997
2005,Einstellung,,,1546,1546,Verfahren nach dem AsIyG 1997
2005,Gegenstandslos,,,129,129,Verfahren nach dem AsIyG 1997
2005,Zurückweisung,,,257,257,Verfahren nach dem AsIyG 1997
2005,Zurückziehung,,,12,12,Verfahren nach dem AsIyG 1997
2005,I. Instanz – § 4 rechtskräftig,,8,,8,Verfahren nach dem AsylG 2003
2005,I. Instanz – § 5 rechtskräftig,,805,,805,Verfahren nach dem AsylG 2003
2005,I. Instanz – § 6 rechtskräftig,,60,,60,Verfahren nach dem AsylG 2003
2005,I. Instanz – § 7 rechtskräftig,2107,1176,,3283,Verfahren nach dem AsylG 2003
2005,II. Instanz – § 4 rechtskräftig,,6,,6,Verfahren nach dem AsylG 2003
2005,II. Instanz – § 5 rechtskräftig,,328,,328,Verfahren nach dem AsylG 2003
2005,II. Instanz – § 6 rechtskräftig,,46,,46,Verfahren nach dem AsylG 2003
2005,II. Instanz – § 7 rechtskräftig,165,256,,421,Verfahren nach dem AsylG 2003
2005,Gegenstandslos § 16,,,58,58,Verfahren nach dem AsylG 2003
2005,Gegenstandslos sonst,,,1212,1212,Verfahren nach dem AsylG 2003
2005,Einstellung,,,5219,5219,Verfahren nach dem AsylG 2003
2005,sonst. neg. Ent,,197,,197,Verfahren nach dem AsylG 2003
2004,I. Instanz – § 4 rechtskräftig,,33,,33,Verfahren nach dem AsIyG 1997
2004,I. Instanz – § 5 rechtskräftig,,190,,190,Verfahren nach dem AsIyG 1997
2004,I. Instanz – § 6 rechtskräftig,,54,,54,Verfahren nach dem AsIyG 1997
2004,I. Instanz – § 7 rechtskräftig,1255,2592,,3847,Verfahren nach dem AsIyG 1997
2004,I. Instanz – §§ 10 u 11 rechtskräftig,1553,268,,1821,Verfahren nach dem AsIyG 1997
2004,II. Instanz – § 5 rechtskräftig,,56,,56,Verfahren nach dem AsIyG 1997
2004,II. Instanz – § 6 rechtskräftig,,25,,25,Verfahren nach dem AsIyG 1997
2004,II. Instanz – § 7 rechtskräftig,1065,531,,1596,Verfahren nach dem AsIyG 1997
2004,II. Instanz – §§ 10 u 11 rechtskräftig,912,210,,1122,Verfahren nach dem AsIyG 1997
2004,Einstellung,,,4455,4455,Verfahren nach dem AsIyG 1997
2004,Gegenstandslos,,,5261,5261,Verfahren nach dem AsIyG 1997
2004,Zurückweisung,,,463,463,Verfahren nach dem AsIyG 1997
2004,Zurückziehung,,,1178,1178,Verfahren nach dem AsIyG 1997
2004,I. Instanz – § 4 rechtskräftig,,4,,4,Verfahren nach dem AsylG 2003
2004,I. Instanz – § 5 rechtskräftig,,663,,663,Verfahren nach dem AsylG 2003
2004,I. Instanz – § 6 rechtskräftig,,23,,23,Verfahren nach dem AsylG 2003
2004,I. Instanz – § 7 rechtskräftig,349,350,,699,Verfahren nach dem AsylG 2003
2004,II. Instanz – § 5 rechtskräftig,,17,,17,Verfahren nach dem AsylG 2003
2004,II. Instanz – § 6 rechtskräftig,,10,,10,Verfahren nach dem AsylG 2003
2004,II. Instanz – § 7 rechtskräftig,2,43,,45,Verfahren nach dem AsylG 2003
2004,Gegenstandslos § 16,,,59,59,Verfahren nach dem AsylG 2003
2004,Gegenstandslos sonst,,,585,585,Verfahren nach dem AsylG 2003
2004,Einstellung,,,3148,3148,Verfahren nach dem AsylG 2003
2004,sonst. Verfahrenserledigungen,,70,,70,Verfahren nach dem AsylG 2003
2003,I. Instanz – § 4 rechtskräftig,,131,,131,Verfahren nach dem AsIyG 1997
2003,I. Instanz – § 5 rechtskräftig,,165,,165,Verfahren nach dem AsIyG 1997
2003,I. Instanz – § 6 rechtskräftig,,109,,109,Verfahren nach dem AsIyG 1997
2003,I. Instanz – § 7 rechtskräftig,455,2672,,3127,Verfahren nach dem AsIyG 1997
2003,I. Instanz – §§ 10 u 11 rechtskräftig,884,274,,1158,Verfahren nach dem AsIyG 1997
2003,II. Instanz – § 4 rechtskräftig,,15,,15,Verfahren nach dem AsIyG 1997
2003,II. Instanz – § 5 rechtskräftig,,63,,63,Verfahren nach dem AsIyG 1997
2003,II. Instanz – § 6 rechtskräftig,,118,,118,Verfahren nach dem AsIyG 1997
2003,II. Instanz – § 7 rechtskräftig,421,1170,,1591,Verfahren nach dem AsIyG 1997
2003,II. Instanz – §§ 10 u 11 rechtskräftig,324,234,,558,Verfahren nach dem AsIyG 1997
2003,Zurückziehung,,,3123,3123,Verfahren nach dem AsIyG 1997
2003,Gegenstandslos,,,7065,7065,Verfahren nach dem AsIyG 1997
2003,Einstellung,,,18029,18029,Verfahren nach dem AsIyG 1997
2003,$ 2 AsylG: § 68 AVG,,,1063,1063,Verfahren nach dem AsIyG 1997
2002,Gesamt,1073,4285,24523,29881,Verfahren nach dem AsIyG 1997
