Organisation,Gliederung,Sitz,Gesamtzahl der überwiegend als Interessensvertreter tätigen Personen,Geschätzte Kosten in € der Interessensvertretung,Gesetzliche Grundlage der Errichtung,Internet- Adresse
Landwirtschaftskammer Burgenland,Burgenland,"7001 Eisenstadt, Esterhazystraße 15",2,"83.688,37","Gesetz vom 18. April 2002 über die Burgenländische Landwirtschaftskammer (Burgenländisches Landwirtschaftskammergesetz), LGBl Nr 76/2002 idF LGBl Nr 8/2012",www.lk-bgld.at
Landwirtschaftskammer Kärnten,Kärnten,"9020 Klagenfurt, Museumgasse 5",2,"53.113,06","Kärntner Landwirtschaftskammergesetz 1991 – K-LWKG, LGBl Nr 127/1991 idF LGBl Nr 65/2012",www.lk-kaernten.at
Landwirtschaftskammer Niederösterreich,Niederösterreich,"3100 St. Pölten, Wiener Straße 64",3,"99.879,40","NÖ Landwirtschaftskammergesetz, LGBl 6000-14",www.lk-noe.at
Landwirtschaftskammer Oberösterreich,Oberösterreich,"4020 Linz, Auf der Gugl 3",2,"103.552,75","Oö. Landwirtschaftskammergesetz 1967, LGBl Nr 55/1967 idF LGBl Nr 23/2013",www.lk-ooe.at
Landwirtschaftskammer Salzburg,Salzburg,"5020 Salzburg, Schwarzstraße 19",3,"88.010,40","Salzburger Landwirtschaftskammergesetz 2000, LGBl Nr 1/2000 idF LGBl Nr 107/2012",www.lk-salzburg.at
Landwirtschaftskammer Steiermark,Steiermark,"8011 Graz, Hamerlinggasse 3",2,"88.725,39","Gesetz vom 29. Oktober 1969 über die Kammern für Land- und Forstwirtschaft in Steiermark, LGBl Nr 14/1970 idF LGBl Nr 102/2011",www.lk-stmk.at
Landwirtschaftskammer Tirol,Tirol,"6020 Innsbruck, Brixner Straße 1",2,"47.504,10","Gesetz vom 5. Juli 2006 über die beruflichen Vertretungen auf dem Gebiet der Land- und Forstwirtschaft (Tiroler Landwirtschaftskammer- und Landarbeiterkammergesetz), LGBl Nr 72/2006 idF LGBl Nr 150/2012",www.lk- tirol.at
Landwirtschaftskammer Vorarlberg,Vorarlberg,"6901 Bregenz, Montfortstraße 9-11",3,"44.076,72","Gesetz über die Landwirtschaftskammer für das Land Vorarlberg, LGBl Nr 59/1995 idF LGBl Nr 73/2012",www.lk-vbg.at
Landwirtschaftskammer Wien,Wien ,"1060 Wien, Gumpendorfer Straße 15",3,"19.263,60","Gesetz über die Errichtung einer Landwirtschaftskammer für Wien (Wiener Landwirtschaftskammergesetz), LGBl Nr 28/1957 idF LGBl Nr 56/2010",www.lk- wien.at
Präsidentenkonferenz der Landwirtschaftskammern Österreichs (Landwirtschaftskammer Österreich),Bund,"1014 Wien, Schauflergasse 6",3,"304.562,33",ZVR-Zahl 729518421,www.lko.at
Gesamt,,,25,"932.376,12",,