Subvention,Betrag,Jahr
Allgemeine Subventionen,2.298.570,2014
"Förderung Altstadterhaltung, Stadterneuerung und Lifteinbauten",2.143.642,2014
Förderung Umweltschutz- und Energiesparmaßnahmen,523.291,2014
Kulturförderung,2.218.832,2014
Sportförderung,2.725.496,2014
Sozial- und Gesundheitswesen,3.960.687,2014
Wirtschaftsförderung,940.809,2014
Wissenschaftsförderung,641.641,2014
Wesentliche Leistungen aufgrund gesetzlicher oder vertraglicher Regelungen,59.080.948,2014
Sonstige Verpflichtungen gegenüber dem Land Oberösterreich (inkl. Gemeinden),117.958.075,2014
Zuschussbedarf für Personen in Betreuungseinrichtungen,55.358.819,2014
Naturalsubventionen,3.402.665,2014
Weitergabe von Landesförderungen,1.781.000,2014
Weitergabe von EU-Förderungen,21.591,2014
Allgemeine Subventionen,2.540.812,2013
"Förderung Altstadterhaltung, Stadterneuerung und Lifteinbauten",2.281.650,2013
Förderung Umweltschutz- und Energiesparmaßnahmen,471.285,2013
Kulturförderung,2.240.347,2013
Sportförderung,3.077.753,2013
Sozial- und Gesundheitswesen,4.342.619,2013
Wirtschaftsförderung,892.142,2013
Wissenschaftsförderung,1.839.094,2013
Wesentliche Leistungen aufgrund gesetzlicher oder vertraglicher Regelungen,56.892.181,2013
Sonstige Verpflichtungen gegenüber dem Land Oberösterreich (inkl. Gemeinden),105.057.635,2013
Zuschussbedarf für Personen in Betreuungseinrichtungen,56.557.031,2013
Naturalsubventionen,2.887.462,2013
Weitergabe von Landesförderungen,1.110.000,2013
Weitergabe von EU-Förderungen,0,2013
Allgemeine Subventionen,2.572.715,2012
"Förderung Altstadterhaltung, Stadterneuerung und Lifteinbauten",2.002.519,2012
Förderung Umweltschutz- und Energiesparmaßnahmen,566.494,2012
Kulturförderung,2.271.449,2012
Sportförderung,3.205.603,2012
Sozial- und Gesundheitswesen,5.051.495,2012
Wirtschaftsförderung,942.354,2012
Wissenschaftsförderung,693.074,2012
Wesentliche Leistungen aufgrund gesetzlicher oder vertraglicher Regelungen,55.122.698,2012
Sonstige Verpflichtungen gegenüber dem Land Oberösterreich (inkl. Gemeinden),111.003.724,2012
Zuschussbedarf für Personen in Betreuungseinrichtungen,55.871.940,2012
Naturalsubventionen,2.902.274,2012
Weitergabe von Landesförderungen,1.438.700,2012
Weitergabe von EU-Förderungen,0,2012